ID,Gene Name,Species,REACTOME_PATHWAY
ENSG00000169692,1-acylglycerol-3-phosphate O-acyltransferase 2(AGPAT2),Homo sapiens,"R-HSA-1483166:R-HSA-1483166,R-HSA-75109:R-HSA-75109,"
ENSG00000131373,2-hydroxyacyl-CoA lyase 1(HACL1),Homo sapiens,"R-HSA-389599:R-HSA-389599,"
ENSG00000164039,"3-hydroxybutyrate dehydrogenase, type 2(BDH2)",Homo sapiens,"R-HSA-77111:R-HSA-77111,"
ENSG00000141698,"5'-nucleotidase, cytosolic IIIB(NT5C3B)",Homo sapiens,"R-HSA-429958:R-HSA-429958,"
ENSG00000135914,5-hydroxytryptamine receptor 2B(HTR2B),Homo sapiens,"R-HSA-390666:R-HSA-390666,R-HSA-416476:R-HSA-416476,"
ENSG00000186090,5-hydroxytryptamine receptor 3D(HTR3D),Homo sapiens,"R-HSA-975298:R-HSA-975298,"
ENSG00000157219,5-hydroxytryptamine receptor 5A(HTR5A),Homo sapiens,"R-HSA-390666:R-HSA-390666,R-HSA-418594:R-HSA-418594,"
ENSG00000158748,5-hydroxytryptamine receptor 6(HTR6),Homo sapiens,"R-HSA-390666:R-HSA-390666,R-HSA-418555:R-HSA-418555,"
ENSG00000151694,ADAM metallopeptidase domain 17(ADAM17),Homo sapiens,"R-HSA-1251985:R-HSA-1251985,R-HSA-1442490:R-HSA-1442490,R-HSA-177929:R-HSA-177929,R-HSA-193692:R-HSA-193692,R-HSA-2122948:R-HSA-2122948,R-HSA-2644606:R-HSA-2644606,R-HSA-2660826:R-HSA-2660826,R-HSA-2691232:R-HSA-2691232,R-HSA-2894862:R-HSA-2894862,R-HSA-5362798:R-HSA-5362798,R-HSA-75893:R-HSA-75893,R-HSA-982772:R-HSA-982772,"
ENSG00000134249,ADAM metallopeptidase domain 30(ADAM30),Homo sapiens,"R-HSA-1300644:R-HSA-1300644,"
ENSG00000154736,ADAM metallopeptidase with thrombospondin type 1 motif 5(ADAMTS5),Homo sapiens,"R-HSA-1474228:R-HSA-1474228,R-HSA-5173214:R-HSA-5173214,"
ENSG00000134917,ADAM metallopeptidase with thrombospondin type 1 motif 8(ADAMTS8),Homo sapiens,"R-HSA-1474228:R-HSA-1474228,R-HSA-5173214:R-HSA-5173214,"
ENSG00000004059,ADP ribosylation factor 5(ARF5),Homo sapiens,"R-HSA-6807878:R-HSA-6807878,"
ENSG00000086848,"ALG9, alpha-1,2-mannosyltransferase(ALG9)",Homo sapiens,"R-HSA-446193:R-HSA-446193,R-HSA-4720454:R-HSA-4720454,"
ENSG00000138071,ARP2 actin related protein 2 homolog(ACTR2),Homo sapiens,"R-HSA-2029482:R-HSA-2029482,R-HSA-3928662:R-HSA-3928662,R-HSA-5663213:R-HSA-5663213,"
ENSG00000189079,AT-rich interaction domain 2(ARID2),Homo sapiens,"R-HSA-3214858:R-HSA-3214858,"
ENSG00000167972,ATP binding cassette subfamily A member 3(ABCA3),Homo sapiens,"R-HSA-1369062:R-HSA-1369062,R-HSA-5683678:R-HSA-5683678,R-HSA-5683826:R-HSA-5683826,R-HSA-5688399:R-HSA-5688399,"
ENSG00000125257,ATP binding cassette subfamily C member 4(ABCC4),Homo sapiens,"R-HSA-114608:R-HSA-114608,R-HSA-382556:R-HSA-382556,"
ENSG00000185344,ATPase H+ transporting V0 subunit a2(ATP6V0A2),Homo sapiens,"R-HSA-1222556:R-HSA-1222556,R-HSA-77387:R-HSA-77387,R-HSA-917977:R-HSA-917977,R-HSA-983712:R-HSA-983712,"
ENSG00000151418,ATPase H+ transporting V1 subunit G3(ATP6V1G3),Homo sapiens,"R-HSA-1222556:R-HSA-1222556,R-HSA-77387:R-HSA-77387,R-HSA-917977:R-HSA-917977,R-HSA-983712:R-HSA-983712,"
ENSG00000132681,ATPase Na+/K+ transporting subunit alpha 4(ATP1A4),Homo sapiens,"R-HSA-5578775:R-HSA-5578775,R-HSA-936837:R-HSA-936837,"
ENSG00000186635,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1(ARAP1)",Homo sapiens,"R-HSA-194840:R-HSA-194840,"
ENSG00000153317,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1(ASAP1)",Homo sapiens,"R-HSA-5620916:R-HSA-5620916,"
ENSG00000186174,B-cell CLL/lymphoma 9-like(BCL9L),Homo sapiens,"R-HSA-201722:R-HSA-201722,R-HSA-3769402:R-HSA-3769402,"
ENSG00000171552,BCL2 like 1(BCL2L1),Homo sapiens,"R-HSA-111453:R-HSA-111453,R-HSA-844455:R-HSA-844455,"
ENSG00000163930,BRCA1 associated protein 1(BAP1),Homo sapiens,"R-HSA-5693565:R-HSA-5693565,"
ENSG00000104221,"BRF2, RNA polymerase III transcription initiation factor 50 kDa subunit(BRF2)",Homo sapiens,"R-HSA-749476:R-HSA-749476,R-HSA-76071:R-HSA-76071,"
ENSG00000254999,"BRICK1, SCAR/WAVE actin nucleating complex subunit(BRK1)",Homo sapiens,"R-HSA-2029482:R-HSA-2029482,R-HSA-4420097:R-HSA-4420097,R-HSA-5663213:R-HSA-5663213,"
ENSG00000156970,BUB1 mitotic checkpoint serine/threonine kinase B(BUB1B),Homo sapiens,"R-HSA-141430:R-HSA-141430,R-HSA-174184:R-HSA-174184,R-HSA-176409:R-HSA-176409,R-HSA-179409:R-HSA-179409,R-HSA-2467813:R-HSA-2467813,R-HSA-2500257:R-HSA-2500257,R-HSA-5663220:R-HSA-5663220,R-HSA-68877:R-HSA-68877,"
ENSG00000154473,"BUB3, mitotic checkpoint protein(BUB3)",Homo sapiens,"R-HSA-141430:R-HSA-141430,R-HSA-174184:R-HSA-174184,R-HSA-176409:R-HSA-176409,R-HSA-179409:R-HSA-179409,R-HSA-2467813:R-HSA-2467813,R-HSA-2500257:R-HSA-2500257,R-HSA-5663220:R-HSA-5663220,R-HSA-68877:R-HSA-68877,"
ENSG00000125124,Bardet-Biedl syndrome 2(BBS2),Homo sapiens,"R-HSA-5620922:R-HSA-5620922,"
ENSG00000102970,C-C motif chemokine ligand 17(CCL17),Homo sapiens,"R-HSA-380108:R-HSA-380108,"
ENSG00000102962,C-C motif chemokine ligand 22(CCL22),Homo sapiens,"R-HSA-380108:R-HSA-380108,"
ENSG00000156234,C-X-C motif chemokine ligand 13(CXCL13),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000121966,C-X-C motif chemokine receptor 4(CXCR4),Homo sapiens,"R-HSA-173107:R-HSA-173107,R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000160683,C-X-C motif chemokine receptor 5(CXCR5),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000159692,C-terminal binding protein 1(CTBP1),Homo sapiens,"R-HSA-3769402:R-HSA-3769402,R-HSA-4641265:R-HSA-4641265,R-HSA-5339700:R-HSA-5339700,"
ENSG00000165682,C-type lectin domain family 1 member B(CLEC1B),Homo sapiens,"R-HSA-114604:R-HSA-114604,"
ENSG00000111731,C2 calcium dependent domain containing 5(C2CD5),Homo sapiens,"R-HSA-1445148:R-HSA-1445148,"
ENSG00000003402,CASP8 and FADD like apoptosis regulator(CFLAR),Homo sapiens,"R-HSA-3371378:R-HSA-3371378,R-HSA-5213460:R-HSA-5213460,R-HSA-5218900:R-HSA-5218900,R-HSA-69416:R-HSA-69416,R-HSA-75158:R-HSA-75158,"
ENSG00000221869,CCAAT/enhancer binding protein delta(CEBPD),Homo sapiens,"R-HSA-381340:R-HSA-381340,"
ENSG00000177455,CD19 molecule(CD19),Homo sapiens,"R-HSA-1257604:R-HSA-1257604,R-HSA-198933:R-HSA-198933,R-HSA-2219530:R-HSA-2219530,R-HSA-983695:R-HSA-983695,"
ENSG00000158473,CD1d molecule(CD1D),Homo sapiens,"R-HSA-198933:R-HSA-198933,"
ENSG00000150637,CD226 molecule(CD226),Homo sapiens,"R-HSA-198933:R-HSA-198933,"
ENSG00000167775,CD320 molecule(CD320),Homo sapiens,"R-HSA-196741:R-HSA-196741,R-HSA-3359485:R-HSA-3359485,"
ENSG00000026508,CD44 molecule (Indian blood group)(CD44),Homo sapiens,"R-HSA-1474228:R-HSA-1474228,R-HSA-202733:R-HSA-202733,R-HSA-216083:R-HSA-216083,R-HSA-2160916:R-HSA-2160916,R-HSA-877300:R-HSA-877300,"
ENSG00000117335,CD46 molecule(CD46),Homo sapiens,"R-HSA-977606:R-HSA-977606,"
ENSG00000114013,CD86 molecule(CD86),Homo sapiens,"R-HSA-1257604:R-HSA-1257604,R-HSA-2219530:R-HSA-2219530,R-HSA-389356:R-HSA-389356,R-HSA-389357:R-HSA-389357,R-HSA-389359:R-HSA-389359,R-HSA-389513:R-HSA-389513,"
ENSG00000173207,CDC28 protein kinase regulatory subunit 1B(CKS1B),Homo sapiens,"R-HSA-187577:R-HSA-187577,R-HSA-69231:R-HSA-69231,"
ENSG00000103502,CDP-diacylglycerol--inositol 3-phosphatidyltransferase(CDIPT),Homo sapiens,"R-HSA-1483226:R-HSA-1483226,"
ENSG00000138663,COP9 signalosome subunit 4(COPS4),Homo sapiens,"R-HSA-5696394:R-HSA-5696394,R-HSA-6781823:R-HSA-6781823,"
ENSG00000150316,CWC15 spliceosome associated protein homolog(CWC15),Homo sapiens,"R-HSA-72163:R-HSA-72163,"
ENSG00000168772,CXXC finger protein 4(CXXC4),Homo sapiens,"R-HSA-5368598:R-HSA-5368598,"
ENSG00000164442,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2(CITED2),Homo sapiens,"R-HSA-1234158:R-HSA-1234158,"
ENSG00000134508,Cdk5 and Abl enzyme substrate 1(CABLES1),Homo sapiens,"R-HSA-983231:R-HSA-983231,"
ENSG00000143942,ChaC cation transport regulator homolog 2(CHAC2),Homo sapiens,"R-HSA-174403:R-HSA-174403,"
ENSG00000134874,DAZ interacting zinc finger protein 1(DZIP1),Homo sapiens,"R-HSA-5632684:R-HSA-5632684,"
ENSG00000198919,DAZ interacting zinc finger protein 3(DZIP3),Homo sapiens,"R-HSA-983168:R-HSA-983168,"
ENSG00000204560,DEAH-box helicase 16(DHX16),Homo sapiens,"R-HSA-72163:R-HSA-72163,"
ENSG00000198563,DExD-box helicase 39B(DDX39B),Homo sapiens,"R-HSA-109688:R-HSA-109688,R-HSA-159236:R-HSA-159236,R-HSA-72187:R-HSA-72187,"
ENSG00000175197,DNA damage inducible transcript 3(DDIT3),Homo sapiens,"R-HSA-380994:R-HSA-380994,R-HSA-381183:R-HSA-381183,"
ENSG00000168209,DNA damage inducible transcript 4(DDIT4),Homo sapiens,"R-HSA-5628897:R-HSA-5628897,"
ENSG00000100206,DNA meiotic recombinase 1(DMC1),Homo sapiens,"R-HSA-912446:R-HSA-912446,"
ENSG00000148229,"DNA polymerase epsilon 3, accessory subunit(POLE3)",Homo sapiens,"R-HSA-110314:R-HSA-110314,R-HSA-174430:R-HSA-174430,R-HSA-5651801:R-HSA-5651801,R-HSA-5656169:R-HSA-5656169,R-HSA-5685942:R-HSA-5685942,R-HSA-5696397:R-HSA-5696397,R-HSA-5696400:R-HSA-5696400,R-HSA-6782135:R-HSA-6782135,R-HSA-6782210:R-HSA-6782210,R-HSA-68952:R-HSA-68952,R-HSA-68962:R-HSA-68962,"
ENSG00000132002,DnaJ heat shock protein family (Hsp40) member B1(DNAJB1),Homo sapiens,"R-HSA-3371453:R-HSA-3371453,R-HSA-3371568:R-HSA-3371568,R-HSA-3371571:R-HSA-3371571,R-HSA-5687128:R-HSA-5687128,"
ENSG00000101412,E2F transcription factor 1(E2F1),Homo sapiens,"R-HSA-111448:R-HSA-111448,R-HSA-113501:R-HSA-113501,R-HSA-113510:R-HSA-113510,R-HSA-139915:R-HSA-139915,R-HSA-1538133:R-HSA-1538133,R-HSA-1912408:R-HSA-1912408,R-HSA-2559580:R-HSA-2559580,R-HSA-2559585:R-HSA-2559585,R-HSA-68689:R-HSA-68689,R-HSA-68911:R-HSA-68911,R-HSA-69205:R-HSA-69205,R-HSA-69231:R-HSA-69231,R-HSA-69298:R-HSA-69298,"
ENSG00000112242,E2F transcription factor 3(E2F3),Homo sapiens,"R-HSA-1912408:R-HSA-1912408,R-HSA-2559580:R-HSA-2559580,R-HSA-2559585:R-HSA-2559585,R-HSA-68689:R-HSA-68689,R-HSA-68911:R-HSA-68911,R-HSA-69231:R-HSA-69231,R-HSA-69298:R-HSA-69298,"
ENSG00000172638,EGF containing fibulin like extracellular matrix protein 2(EFEMP2),Homo sapiens,"R-HSA-2129379:R-HSA-2129379,"
ENSG00000012660,ELOVL fatty acid elongase 5(ELOVL5),Homo sapiens,"R-HSA-2046105:R-HSA-2046105,R-HSA-2046106:R-HSA-2046106,R-HSA-75876:R-HSA-75876,"
ENSG00000147475,ER lipid raft associated 2(ERLIN2),Homo sapiens,"R-HSA-382556:R-HSA-382556,R-HSA-5655302:R-HSA-5655302,R-HSA-5678895:R-HSA-5678895,"
ENSG00000175595,"ERCC excision repair 4, endonuclease catalytic subunit(ERCC4)",Homo sapiens,"R-HSA-5685938:R-HSA-5685938,R-HSA-5696395:R-HSA-5696395,R-HSA-5696400:R-HSA-5696400,R-HSA-6782135:R-HSA-6782135,R-HSA-6783310:R-HSA-6783310,"
ENSG00000159069,F-box and WD repeat domain containing 5(FBXW5),Homo sapiens,"R-HSA-390471:R-HSA-390471,R-HSA-983168:R-HSA-983168,"
ENSG00000256966,F-box protein 10(FBXO10),Homo sapiens,"R-HSA-983168:R-HSA-983168,"
ENSG00000116661,F-box protein 2(FBXO2),Homo sapiens,"R-HSA-983168:R-HSA-983168,"
ENSG00000167196,F-box protein 22(FBXO22),Homo sapiens,"R-HSA-983168:R-HSA-983168,"
ENSG00000161243,F-box protein 27(FBXO27),Homo sapiens,"R-HSA-983168:R-HSA-983168,"
ENSG00000163013,F-box protein 41(FBXO41),Homo sapiens,"R-HSA-983168:R-HSA-983168,"
ENSG00000132879,F-box protein 44(FBXO44),Homo sapiens,"R-HSA-983168:R-HSA-983168,"
ENSG00000100225,F-box protein 7(FBXO7),Homo sapiens,"R-HSA-983168:R-HSA-983168,"
ENSG00000149806,"FAU, ubiquitin like and ribosomal protein S30 fusion(FAU)",Homo sapiens,"R-HSA-156827:R-HSA-156827,R-HSA-156902:R-HSA-156902,R-HSA-1799339:R-HSA-1799339,R-HSA-192823:R-HSA-192823,R-HSA-2408557:R-HSA-2408557,R-HSA-72649:R-HSA-72649,R-HSA-72689:R-HSA-72689,R-HSA-72695:R-HSA-72695,R-HSA-72702:R-HSA-72702,R-HSA-72706:R-HSA-72706,R-HSA-72764:R-HSA-72764,R-HSA-975956:R-HSA-975956,R-HSA-975957:R-HSA-975957,"
ENSG00000006607,"FERM, ARH/RhoGEF and pleckstrin domain protein 2(FARP2)",Homo sapiens,"R-HSA-399955:R-HSA-399955,"
ENSG00000139132,"FYVE, RhoGEF and PH domain containing 4(FGD4)",Homo sapiens,"R-HSA-193648:R-HSA-193648,R-HSA-194840:R-HSA-194840,R-HSA-416482:R-HSA-416482,"
ENSG00000185504,Fanconi anemia core complex associated protein 100(FAAP100),Homo sapiens,"R-HSA-6783310:R-HSA-6783310,"
ENSG00000162585,Fanconi anemia core complex associated protein 20(FAAP20),Homo sapiens,"R-HSA-6783310:R-HSA-6783310,"
ENSG00000188878,Fas binding factor 1(FBF1),Homo sapiens,"R-HSA-5620912:R-HSA-5620912,"
ENSG00000060558,G protein subunit alpha 15(GNA15),Homo sapiens,"R-HSA-399997:R-HSA-399997,R-HSA-416476:R-HSA-416476,R-HSA-418592:R-HSA-418592,R-HSA-428930:R-HSA-428930,R-HSA-434316:R-HSA-434316,R-HSA-456926:R-HSA-456926,"
ENSG00000114450,G protein subunit beta 4(GNB4),Homo sapiens,"R-HSA-163359:R-HSA-163359,R-HSA-202040:R-HSA-202040,R-HSA-381676:R-HSA-381676,R-HSA-392170:R-HSA-392170,R-HSA-392451:R-HSA-392451,R-HSA-392851:R-HSA-392851,R-HSA-400042:R-HSA-400042,R-HSA-4086398:R-HSA-4086398,R-HSA-416476:R-HSA-416476,R-HSA-416482:R-HSA-416482,R-HSA-418217:R-HSA-418217,R-HSA-418555:R-HSA-418555,R-HSA-418592:R-HSA-418592,R-HSA-418594:R-HSA-418594,R-HSA-418597:R-HSA-418597,R-HSA-420092:R-HSA-420092,R-HSA-428930:R-HSA-428930,R-HSA-432040:R-HSA-432040,R-HSA-456926:R-HSA-456926,R-HSA-500657:R-HSA-500657,"
ENSG00000127920,G protein subunit gamma 11(GNG11),Homo sapiens,"R-HSA-163359:R-HSA-163359,R-HSA-202040:R-HSA-202040,R-HSA-381676:R-HSA-381676,R-HSA-392170:R-HSA-392170,R-HSA-392451:R-HSA-392451,R-HSA-392851:R-HSA-392851,R-HSA-400042:R-HSA-400042,R-HSA-4086398:R-HSA-4086398,R-HSA-416476:R-HSA-416476,R-HSA-416482:R-HSA-416482,R-HSA-418217:R-HSA-418217,R-HSA-418555:R-HSA-418555,R-HSA-418592:R-HSA-418592,R-HSA-418594:R-HSA-418594,R-HSA-418597:R-HSA-418597,R-HSA-420092:R-HSA-420092,R-HSA-428930:R-HSA-428930,R-HSA-432040:R-HSA-432040,R-HSA-456926:R-HSA-456926,R-HSA-500657:R-HSA-500657,"
ENSG00000179921,G protein-coupled bile acid receptor 1(GPBAR1),Homo sapiens,"R-HSA-373076:R-HSA-373076,R-HSA-418555:R-HSA-418555,"
