ID,Gene Name,Species,REACTOME_PATHWAY
ENSG00000134240,3-hydroxy-3-methylglutaryl-CoA synthase 2(HMGCS2),Homo sapiens,"R-HSA-1989781:R-HSA-1989781,R-HSA-77111:R-HSA-77111,"
ENSG00000161267,"3-hydroxybutyrate dehydrogenase, type 1(BDH1)",Homo sapiens,"R-HSA-77108:R-HSA-77108,R-HSA-77111:R-HSA-77111,"
ENSG00000179546,5-hydroxytryptamine receptor 1D(HTR1D),Homo sapiens,"R-HSA-390666:R-HSA-390666,R-HSA-418594:R-HSA-418594,"
ENSG00000179097,5-hydroxytryptamine receptor 1F(HTR1F),Homo sapiens,"R-HSA-390666:R-HSA-390666,R-HSA-418594:R-HSA-418594,"
ENSG00000166736,5-hydroxytryptamine receptor 3A(HTR3A),Homo sapiens,"R-HSA-975298:R-HSA-975298,"
ENSG00000148680,5-hydroxytryptamine receptor 7(HTR7),Homo sapiens,"R-HSA-390666:R-HSA-390666,R-HSA-418555:R-HSA-418555,"
ENSG00000175309,5-phosphohydroxy-L-lysine phospho-lyase(PHYKPL),Homo sapiens,"R-HSA-1442490:R-HSA-1442490,R-HSA-71064:R-HSA-71064,"
ENSG00000150787,6-pyruvoyltetrahydropterin synthase(PTS),Homo sapiens,"R-HSA-1474151:R-HSA-1474151,"
ENSG00000127914,A-kinase anchoring protein 9(AKAP9),Homo sapiens,"R-HSA-2565942:R-HSA-2565942,R-HSA-380259:R-HSA-380259,R-HSA-380270:R-HSA-380270,R-HSA-438066:R-HSA-438066,R-HSA-442729:R-HSA-442729,R-HSA-442982:R-HSA-442982,R-HSA-5576890:R-HSA-5576890,R-HSA-5576893:R-HSA-5576893,R-HSA-5620912:R-HSA-5620912,R-HSA-5673001:R-HSA-5673001,"
ENSG00000151651,ADAM metallopeptidase domain 8(ADAM8),Homo sapiens,"R-HSA-1474228:R-HSA-1474228,"
ENSG00000173157,ADAM metallopeptidase with thrombospondin type 1 motif 20(ADAMTS20),Homo sapiens,"R-HSA-5173214:R-HSA-5173214,"
ENSG00000143382,ADAMTS like 4(ADAMTSL4),Homo sapiens,"R-HSA-5173214:R-HSA-5173214,"
ENSG00000213465,ADP ribosylation factor like GTPase 2(ARL2),Homo sapiens,"R-HSA-389977:R-HSA-389977,R-HSA-422356:R-HSA-422356,"
ENSG00000120697,"ALG5, dolichyl-phosphate beta-glucosyltransferase(ALG5)",Homo sapiens,"R-HSA-480985:R-HSA-480985,"
ENSG00000149089,APAF1 interacting protein(APIP),Homo sapiens,"R-HSA-1237112:R-HSA-1237112,"
ENSG00000165029,ATP binding cassette subfamily A member 1(ABCA1),Homo sapiens,"R-HSA-194223:R-HSA-194223,R-HSA-1989781:R-HSA-1989781,R-HSA-5682113:R-HSA-5682113,"
ENSG00000005471,ATP binding cassette subfamily B member 4(ABCB4),Homo sapiens,"R-HSA-1989781:R-HSA-1989781,R-HSA-382556:R-HSA-382556,R-HSA-5678771:R-HSA-5678771,"
ENSG00000103222,ATP binding cassette subfamily C member 1(ABCC1),Homo sapiens,"R-HSA-196741:R-HSA-196741,R-HSA-2142691:R-HSA-2142691,R-HSA-382556:R-HSA-382556,"
ENSG00000006071,ATP binding cassette subfamily C member 8(ABCC8),Homo sapiens,"R-HSA-1296025:R-HSA-1296025,R-HSA-382556:R-HSA-382556,R-HSA-422356:R-HSA-422356,R-HSA-5683177:R-HSA-5683177,"
ENSG00000173208,ATP binding cassette subfamily D member 2(ABCD2),Homo sapiens,"R-HSA-1369062:R-HSA-1369062,"
ENSG00000118777,ATP binding cassette subfamily G member 2 (Junior blood group)(ABCG2),Homo sapiens,"R-HSA-2161517:R-HSA-2161517,R-HSA-917937:R-HSA-917937,"
ENSG00000198899,ATP synthase F0 subunit 6(ATP6),Homo sapiens,"R-HSA-163210:R-HSA-163210,"
ENSG00000159720,ATPase H+ transporting V0 subunit d1(ATP6V0D1),Homo sapiens,"R-HSA-1222556:R-HSA-1222556,R-HSA-381038:R-HSA-381038,R-HSA-77387:R-HSA-77387,R-HSA-917977:R-HSA-917977,R-HSA-983712:R-HSA-983712,"
ENSG00000113732,ATPase H+ transporting V0 subunit e1(ATP6V0E1),Homo sapiens,"R-HSA-1222556:R-HSA-1222556,R-HSA-77387:R-HSA-77387,R-HSA-917977:R-HSA-917977,R-HSA-983712:R-HSA-983712,"
ENSG00000182220,ATPase H+ transporting accessory protein 2(ATP6AP2),Homo sapiens,"R-HSA-2022377:R-HSA-2022377,"
ENSG00000018625,ATPase Na+/K+ transporting subunit alpha 2(ATP1A2),Homo sapiens,"R-HSA-5578775:R-HSA-5578775,R-HSA-936837:R-HSA-936837,"
ENSG00000069849,ATPase Na+/K+ transporting subunit beta 3(ATP1B3),Homo sapiens,"R-HSA-210991:R-HSA-210991,R-HSA-5578775:R-HSA-5578775,R-HSA-936837:R-HSA-936837,"
ENSG00000206190,ATPase phospholipid transporting 10A (putative)(ATP10A),Homo sapiens,"R-HSA-936837:R-HSA-936837,"
ENSG00000058063,ATPase phospholipid transporting 11B (putative)(ATP11B),Homo sapiens,"R-HSA-936837:R-HSA-936837,"
ENSG00000143515,ATPase phospholipid transporting 8B2(ATP8B2),Homo sapiens,"R-HSA-936837:R-HSA-936837,"
ENSG00000166377,ATPase phospholipid transporting 9B (putative)(ATP9B),Homo sapiens,"R-HSA-936837:R-HSA-936837,"
ENSG00000058668,ATPase plasma membrane Ca2+ transporting 4(ATP2B4),Homo sapiens,"R-HSA-418359:R-HSA-418359,R-HSA-5578775:R-HSA-5578775,R-HSA-936837:R-HSA-936837,"
ENSG00000196296,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1(ATP2A1),Homo sapiens,"R-HSA-1912420:R-HSA-1912420,R-HSA-418359:R-HSA-418359,R-HSA-5578775:R-HSA-5578775,R-HSA-936837:R-HSA-936837,"
ENSG00000174437,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2(ATP2A2),Homo sapiens,"R-HSA-1912420:R-HSA-1912420,R-HSA-418359:R-HSA-418359,R-HSA-5578775:R-HSA-5578775,R-HSA-936837:R-HSA-936837,"
ENSG00000074370,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3(ATP2A3),Homo sapiens,"R-HSA-1912420:R-HSA-1912420,R-HSA-418359:R-HSA-418359,R-HSA-5578775:R-HSA-5578775,R-HSA-936837:R-HSA-936837,"
ENSG00000164053,ATR interacting protein(ATRIP),Homo sapiens,"R-HSA-176187:R-HSA-176187,R-HSA-5685938:R-HSA-5685938,R-HSA-5693607:R-HSA-5693607,R-HSA-5693616:R-HSA-5693616,R-HSA-6783310:R-HSA-6783310,R-HSA-69473:R-HSA-69473,"
ENSG00000183684,Aly/REF export factor(ALYREF),Homo sapiens,"R-HSA-109688:R-HSA-109688,R-HSA-159227:R-HSA-159227,R-HSA-159230:R-HSA-159230,R-HSA-159231:R-HSA-159231,R-HSA-159236:R-HSA-159236,R-HSA-72163:R-HSA-72163,R-HSA-72187:R-HSA-72187,"
ENSG00000186265,B and T lymphocyte associated(BTLA),Homo sapiens,"R-HSA-388841:R-HSA-388841,"
ENSG00000140299,BCL2 interacting protein 2(BNIP2),Homo sapiens,"R-HSA-375170:R-HSA-375170,"
ENSG00000074582,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone(BCS1L)",Homo sapiens,"R-HSA-1268020:R-HSA-1268020,"
ENSG00000136492,BRCA1 interacting protein C-terminal helicase 1(BRIP1),Homo sapiens,"R-HSA-2564830:R-HSA-2564830,R-HSA-5685938:R-HSA-5685938,R-HSA-5685942:R-HSA-5685942,R-HSA-5693554:R-HSA-5693554,R-HSA-5693568:R-HSA-5693568,R-HSA-5693579:R-HSA-5693579,R-HSA-5693607:R-HSA-5693607,R-HSA-5693616:R-HSA-5693616,R-HSA-69473:R-HSA-69473,"
ENSG00000139618,"BRCA2, DNA repair associated(BRCA2)",Homo sapiens,"R-HSA-5685942:R-HSA-5685942,R-HSA-5693554:R-HSA-5693554,R-HSA-5693568:R-HSA-5693568,R-HSA-5693579:R-HSA-5693579,R-HSA-5693616:R-HSA-5693616,R-HSA-912446:R-HSA-912446,"
ENSG00000172156,C-C motif chemokine ligand 11(CCL11),Homo sapiens,"R-HSA-380108:R-HSA-380108,"
ENSG00000151882,C-C motif chemokine ligand 28(CCL28),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000138755,C-X-C motif chemokine ligand 9(CXCL9),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000163464,C-X-C motif chemokine receptor 1(CXCR1),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000258227,C-type lectin domain family 5 member A(CLEC5A),Homo sapiens,"R-HSA-2172127:R-HSA-2172127,"
ENSG00000113300,CCR4-NOT transcription complex subunit 6(CNOT6),Homo sapiens,"R-HSA-429947:R-HSA-429947,R-HSA-5617472:R-HSA-5617472,"
ENSG00000144580,CCR4-NOT transcription complex subunit 9(CNOT9),Homo sapiens,"R-HSA-429947:R-HSA-429947,R-HSA-5617472:R-HSA-5617472,"
ENSG00000158477,CD1a molecule(CD1A),Homo sapiens,"R-HSA-198933:R-HSA-198933,"
ENSG00000158481,CD1c molecule(CD1C),Homo sapiens,"R-HSA-198933:R-HSA-198933,"
ENSG00000091972,CD200 molecule(CD200),Homo sapiens,"R-HSA-198933:R-HSA-198933,"
ENSG00000007312,CD79b molecule(CD79B),Homo sapiens,"R-HSA-5690714:R-HSA-5690714,R-HSA-983695:R-HSA-983695,"
ENSG00000153283,CD96 molecule(CD96),Homo sapiens,"R-HSA-198933:R-HSA-198933,"
ENSG00000136861,CDK5 regulatory subunit associated protein 2(CDK5RAP2),Homo sapiens,"R-HSA-2565942:R-HSA-2565942,R-HSA-380259:R-HSA-380259,R-HSA-380270:R-HSA-380270,R-HSA-5620912:R-HSA-5620912,"
ENSG00000101290,CDP-diacylglycerol synthase 2(CDS2),Homo sapiens,"R-HSA-1483148:R-HSA-1483148,"
ENSG00000138495,"COX17, cytochrome c oxidase copper chaperone(COX17)",Homo sapiens,"R-HSA-1268020:R-HSA-1268020,"
ENSG00000163626,"COX18, cytochrome c oxidase assembly factor(COX18)",Homo sapiens,"R-HSA-5628897:R-HSA-5628897,R-HSA-611105:R-HSA-611105,"
ENSG00000273559,CWC25 spliceosome associated protein homolog(CWC25),Homo sapiens,"R-HSA-72163:R-HSA-72163,"
ENSG00000153015,CWC27 spliceosome associated protein homolog(CWC27),Homo sapiens,"R-HSA-72163:R-HSA-72163,"
ENSG00000110395,Cbl proto-oncogene(CBL),Homo sapiens,"R-HSA-1059683:R-HSA-1059683,R-HSA-1236382:R-HSA-1236382,R-HSA-1295596:R-HSA-1295596,R-HSA-1433559:R-HSA-1433559,R-HSA-182971:R-HSA-182971,R-HSA-2173789:R-HSA-2173789,R-HSA-5637810:R-HSA-5637810,R-HSA-5654726:R-HSA-5654726,R-HSA-5654727:R-HSA-5654727,R-HSA-5654732:R-HSA-5654732,R-HSA-5654733:R-HSA-5654733,R-HSA-912631:R-HSA-912631,R-HSA-983695:R-HSA-983695,"
ENSG00000068120,Coenzyme A synthase(COASY),Homo sapiens,"R-HSA-196783:R-HSA-196783,"
ENSG00000136485,DDB1 and CUL4 associated factor 7(DCAF7),Homo sapiens,"R-HSA-390471:R-HSA-390471,"
ENSG00000109606,DEAH-box helicase 15(DHX15),Homo sapiens,"R-HSA-72163:R-HSA-72163,"
ENSG00000165732,DExD-box helicase 21(DDX21),Homo sapiens,"R-HSA-5250924:R-HSA-5250924,"
ENSG00000083520,"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease(DIS3)",Homo sapiens,"R-HSA-380994:R-HSA-380994,R-HSA-429958:R-HSA-429958,R-HSA-450385:R-HSA-450385,R-HSA-450513:R-HSA-450513,R-HSA-450604:R-HSA-450604,"
ENSG00000119772,DNA methyltransferase 3 alpha(DNMT3A),Homo sapiens,"R-HSA-212300:R-HSA-212300,R-HSA-3214858:R-HSA-3214858,R-HSA-5334118:R-HSA-5334118,"
ENSG00000183495,E1A binding protein p400(EP400),Homo sapiens,"R-HSA-2559584:R-HSA-2559584,R-HSA-2559586:R-HSA-2559586,R-HSA-3214847:R-HSA-3214847,"
ENSG00000044524,EPH receptor A3(EPHA3),Homo sapiens,"R-HSA-2682334:R-HSA-2682334,R-HSA-3928663:R-HSA-3928663,R-HSA-3928665:R-HSA-3928665,"
ENSG00000135333,EPH receptor A7(EPHA7),Homo sapiens,"R-HSA-2682334:R-HSA-2682334,R-HSA-3928663:R-HSA-3928663,R-HSA-3928665:R-HSA-3928665,"
ENSG00000049167,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit(ERCC8)",Homo sapiens,"R-HSA-6781823:R-HSA-6781823,R-HSA-6781827:R-HSA-6781827,R-HSA-6782135:R-HSA-6782135,R-HSA-6782210:R-HSA-6782210,"
ENSG00000064655,EYA transcriptional coactivator and phosphatase 2(EYA2),Homo sapiens,"R-HSA-5693565:R-HSA-5693565,"
ENSG00000112319,EYA transcriptional coactivator and phosphatase 4(EYA4),Homo sapiens,"R-HSA-5693565:R-HSA-5693565,"
ENSG00000197361,F-box and leucine rich repeat protein 22(FBXL22),Homo sapiens,"R-HSA-983168:R-HSA-983168,"
ENSG00000116663,F-box protein 6(FBXO6),Homo sapiens,"R-HSA-390471:R-HSA-390471,R-HSA-983168:R-HSA-983168,"
ENSG00000158769,F11 receptor(F11R),Homo sapiens,"R-HSA-202733:R-HSA-202733,R-HSA-216083:R-HSA-216083,R-HSA-2173791:R-HSA-2173791,R-HSA-420029:R-HSA-420029,"
ENSG00000127533,F2R like thrombin/trypsin receptor 3(F2RL3),Homo sapiens,"R-HSA-375276:R-HSA-375276,R-HSA-416476:R-HSA-416476,R-HSA-456926:R-HSA-456926,"
ENSG00000150201,FXYD domain containing ion transport regulator 4(FXYD4),Homo sapiens,"R-HSA-5578775:R-HSA-5578775,R-HSA-936837:R-HSA-936837,"
ENSG00000137726,FXYD domain containing ion transport regulator 6(FXYD6),Homo sapiens,"R-HSA-5578775:R-HSA-5578775,R-HSA-936837:R-HSA-936837,"
ENSG00000010810,"FYN proto-oncogene, Src family tyrosine kinase(FYN)",Homo sapiens,"R-HSA-114604:R-HSA-114604,R-HSA-1227986:R-HSA-1227986,R-HSA-1257604:R-HSA-1257604,R-HSA-1433557:R-HSA-1433557,R-HSA-1433559:R-HSA-1433559,R-HSA-164944:R-HSA-164944,R-HSA-202733:R-HSA-202733,R-HSA-2029481:R-HSA-2029481,R-HSA-210990:R-HSA-210990,R-HSA-2219530:R-HSA-2219530,R-HSA-2424491:R-HSA-2424491,R-HSA-2682334:R-HSA-2682334,R-HSA-2730905:R-HSA-2730905,R-HSA-373753:R-HSA-373753,R-HSA-375165:R-HSA-375165,R-HSA-389356:R-HSA-389356,R-HSA-389357:R-HSA-389357,R-HSA-389359:R-HSA-389359,R-HSA-389513:R-HSA-389513,R-HSA-3928662:R-HSA-3928662,R-HSA-3928663:R-HSA-3928663,R-HSA-3928664:R-HSA-3928664,R-HSA-3928665:R-HSA-3928665,R-HSA-399954:R-HSA-399954,R-HSA-399955:R-HSA-399955,R-HSA-399956:R-HSA-399956,R-HSA-418885:R-HSA-418885,R-HSA-418886:R-HSA-418886,R-HSA-4420097:R-HSA-4420097,R-HSA-5621480:R-HSA-5621480,R-HSA-5621575:R-HSA-5621575,R-HSA-5673001:R-HSA-5673001,R-HSA-75892:R-HSA-75892,R-HSA-912631:R-HSA-912631,R-HSA-983695:R-HSA-983695,"
ENSG00000072694,Fc fragment of IgG receptor IIb(FCGR2B),Homo sapiens,"R-HSA-198933:R-HSA-198933,"
ENSG00000146535,G protein subunit alpha 12(GNA12),Homo sapiens,"R-HSA-416482:R-HSA-416482,R-HSA-456926:R-HSA-456926,"
ENSG00000127955,G protein subunit alpha i1(GNAI1),Homo sapiens,"R-HSA-112043:R-HSA-112043,R-HSA-170670:R-HSA-170670,R-HSA-202040:R-HSA-202040,R-HSA-392170:R-HSA-392170,R-HSA-400042:R-HSA-400042,R-HSA-418555:R-HSA-418555,R-HSA-418594:R-HSA-418594,R-HSA-418597:R-HSA-418597,R-HSA-422356:R-HSA-422356,"
ENSG00000087258,G protein subunit alpha o1(GNAO1),Homo sapiens,"R-HSA-112043:R-HSA-112043,R-HSA-202040:R-HSA-202040,R-HSA-4086398:R-HSA-4086398,"
ENSG00000134183,G protein subunit alpha transducin 2(GNAT2),Homo sapiens,"R-HSA-112043:R-HSA-112043,R-HSA-202040:R-HSA-202040,R-HSA-4086398:R-HSA-4086398,R-HSA-418594:R-HSA-418594,"
ENSG00000135973,G protein-coupled receptor 45(GPR45),Homo sapiens,"R-HSA-418555:R-HSA-418555,"
ENSG00000145321,"GC, vitamin D binding protein(GC)",Homo sapiens,"R-HSA-196791:R-HSA-196791,"
ENSG00000106571,GLI family zinc finger 3(GLI3),Homo sapiens,"R-HSA-5610785:R-HSA-5610785,R-HSA-5610787:R-HSA-5610787,R-HSA-5632684:R-HSA-5632684,R-HSA-5635851:R-HSA-5635851,"
ENSG00000172432,GTP binding protein 2(GTPBP2),Homo sapiens,"R-HSA-114608:R-HSA-114608,"
ENSG00000249115,HAUS augmin like complex subunit 5(HAUS5),Homo sapiens,"R-HSA-2565942:R-HSA-2565942,R-HSA-380259:R-HSA-380259,R-HSA-380270:R-HSA-380270,R-HSA-5620912:R-HSA-5620912,"
ENSG00000106012,IQ motif containing E(IQCE),Homo sapiens,"R-HSA-5635838:R-HSA-5635838,"
ENSG00000140575,IQ motif containing GTPase activating protein 1(IQGAP1),Homo sapiens,"R-HSA-373753:R-HSA-373753,R-HSA-381676:R-HSA-381676,R-HSA-5626467:R-HSA-5626467,R-HSA-5674135:R-HSA-5674135,"
ENSG00000261796,ISY1-RAB43 readthrough(ISY1-RAB43),Homo sapiens,"R-HSA-6781823:R-HSA-6781823,R-HSA-6781827:R-HSA-6781827,R-HSA-6782135:R-HSA-6782135,R-HSA-6782210:R-HSA-6782210,R-HSA-72163:R-HSA-72163,"
ENSG00000168970,JMJD7-PLA2G4B readthrough(JMJD7-PLA2G4B),Homo sapiens,"R-HSA-1482788:R-HSA-1482788,R-HSA-1482801:R-HSA-1482801,R-HSA-1482839:R-HSA-1482839,R-HSA-1482925:R-HSA-1482925,R-HSA-1483115:R-HSA-1483115,R-HSA-1483166:R-HSA-1483166,R-HSA-381038:R-HSA-381038,"
ENSG00000133619,KRAB-A domain containing 1(KRBA1),Homo sapiens,"R-HSA-212436:R-HSA-212436,"
ENSG00000136826,Kruppel like factor 4(KLF4),Homo sapiens,"R-HSA-381340:R-HSA-381340,R-HSA-422085:R-HSA-422085,R-HSA-452723:R-HSA-452723,"
ENSG00000123384,LDL receptor related protein 1(LRP1),Homo sapiens,"R-HSA-2168880:R-HSA-2168880,R-HSA-975634:R-HSA-975634,"
ENSG00000161904,LEM domain containing 2(LEMD2),Homo sapiens,"R-HSA-2993913:R-HSA-2993913,R-HSA-2995383:R-HSA-2995383,R-HSA-4419969:R-HSA-4419969,"
ENSG00000198517,MAF bZIP transcription factor K(MAFK),Homo sapiens,"R-HSA-983231:R-HSA-983231,"
ENSG00000114978,MOB kinase activator 1A(MOB1A),Homo sapiens,"R-HSA-2028269:R-HSA-2028269,"
ENSG00000117400,"MPL proto-oncogene, thrombopoietin receptor(MPL)",Homo sapiens,"R-HSA-76009:R-HSA-76009,"
ENSG00000163875,MYST/Esa1 associated factor 6(MEAF6),Homo sapiens,"R-HSA-3214847:R-HSA-3214847,"
ENSG00000124357,N-acetylglucosamine kinase(NAGK),Homo sapiens,"R-HSA-446210:R-HSA-446210,"
ENSG00000138744,N-acylethanolamine acid amidase(NAAA),Homo sapiens,"R-HSA-112310:R-HSA-112310,"
ENSG00000164100,N-deacetylase and N-sulfotransferase 3(NDST3),Homo sapiens,"R-HSA-2022928:R-HSA-2022928,"
ENSG00000198888,"NADH dehydrogenase, subunit 1 (complex I)(ND1)",Homo sapiens,"R-HSA-611105:R-HSA-611105,R-HSA-6799198:R-HSA-6799198,"
ENSG00000198786,"NADH dehydrogenase, subunit 5 (complex I)(ND5)",Homo sapiens,"R-HSA-611105:R-HSA-611105,R-HSA-6799198:R-HSA-6799198,"
ENSG00000164182,NADH:ubiquinone oxidoreductase complex assembly factor 2(NDUFAF2),Homo sapiens,"R-HSA-6799198:R-HSA-6799198,"
ENSG00000170906,NADH:ubiquinone oxidoreductase subunit A3(NDUFA3),Homo sapiens,"R-HSA-611105:R-HSA-611105,R-HSA-6799198:R-HSA-6799198,"
ENSG00000146232,NFKB inhibitor epsilon(NFKBIE),Homo sapiens,"R-HSA-1169091:R-HSA-1169091,"
ENSG00000117650,NIMA related kinase 2(NEK2),Homo sapiens,"R-HSA-179409:R-HSA-179409,R-HSA-2565942:R-HSA-2565942,R-HSA-380259:R-HSA-380259,R-HSA-380270:R-HSA-380270,R-HSA-5620912:R-HSA-5620912,"
ENSG00000091592,NLR family pyrin domain containing 1(NLRP1),Homo sapiens,"R-HSA-844455:R-HSA-844455,"
ENSG00000011052,NME1-NME2 readthrough(NME1-NME2),Homo sapiens,"R-HSA-499943:R-HSA-499943,"
ENSG00000169189,"NSE1 homolog, SMC5-SMC6 complex component(NSMCE1)",Homo sapiens,"R-HSA-3108214:R-HSA-3108214,"
ENSG00000092094,O-sialoglycoprotein endopeptidase(OSGEP),Homo sapiens,"R-HSA-6782315:R-HSA-6782315,"
ENSG00000135506,"OS9, endoplasmic reticulum lectin(OS9)",Homo sapiens,"R-HSA-382556:R-HSA-382556,R-HSA-5358346:R-HSA-5358346,R-HSA-5362768:R-HSA-5362768,R-HSA-5678895:R-HSA-5678895,R-HSA-901032:R-HSA-901032,"
ENSG00000185630,PBX homeobox 1(PBX1),Homo sapiens,"R-HSA-452723:R-HSA-452723,R-HSA-5617472:R-HSA-5617472,"
ENSG00000112511,PHD finger protein 1(PHF1),Homo sapiens,"R-HSA-212300:R-HSA-212300,"
ENSG00000164256,PR/SET domain 9(PRDM9),Homo sapiens,"R-HSA-3214841:R-HSA-3214841,R-HSA-912446:R-HSA-912446,"
ENSG00000177380,PTPRF interacting protein alpha 3(PPFIA3),Homo sapiens,"R-HSA-181429:R-HSA-181429,R-HSA-181430:R-HSA-181430,R-HSA-210500:R-HSA-210500,R-HSA-212676:R-HSA-212676,R-HSA-264642:R-HSA-264642,"
ENSG00000168118,"RAB4A, member RAS oncogene family(RAB4A)",Homo sapiens,"R-HSA-1445148:R-HSA-1445148,"
ENSG00000108774,"RAB5C, member RAS oncogene family(RAB5C)",Homo sapiens,"R-HSA-432722:R-HSA-432722,"
ENSG00000152942,RAD17 checkpoint clamp loader component(RAD17),Homo sapiens,"R-HSA-176187:R-HSA-176187,R-HSA-5685938:R-HSA-5685938,R-HSA-5693607:R-HSA-5693607,R-HSA-5693616:R-HSA-5693616,R-HSA-69473:R-HSA-69473,"
ENSG00000070950,"RAD18, E3 ubiquitin protein ligase(RAD18)",Homo sapiens,"R-HSA-110314:R-HSA-110314,"
ENSG00000179262,"RAD23 homolog A, nucleotide excision repair protein(RAD23A)",Homo sapiens,"R-HSA-5696394:R-HSA-5696394,R-HSA-5696395:R-HSA-5696395,"
ENSG00000132341,"RAN, member RAS oncogene family(RAN)",Homo sapiens,"R-HSA-165054:R-HSA-165054,R-HSA-1655829:R-HSA-1655829,R-HSA-168333:R-HSA-168333,R-HSA-180746:R-HSA-180746,R-HSA-203927:R-HSA-203927,R-HSA-5578749:R-HSA-5578749,R-HSA-6784531:R-HSA-6784531,"
ENSG00000132359,RAP1 GTPase activating protein 2(RAP1GAP2),Homo sapiens,"R-HSA-392517:R-HSA-392517,"
ENSG00000076864,RAP1 GTPase activating protein(RAP1GAP),Homo sapiens,"R-HSA-392517:R-HSA-392517,"
ENSG00000104856,"RELB proto-oncogene, NF-kB subunit(RELB)",Homo sapiens,"R-HSA-5607761:R-HSA-5607761,R-HSA-5621575:R-HSA-5621575,R-HSA-5676590:R-HSA-5676590,"
ENSG00000089902,REST corepressor 1(RCOR1),Homo sapiens,"R-HSA-3214815:R-HSA-3214815,R-HSA-983231:R-HSA-983231,"
ENSG00000186184,RNA polymerase I subunit D(POLR1D),Homo sapiens,"R-HSA-1834949:R-HSA-1834949,R-HSA-427413:R-HSA-427413,R-HSA-5250924:R-HSA-5250924,R-HSA-73762:R-HSA-73762,R-HSA-73772:R-HSA-73772,R-HSA-73777:R-HSA-73777,R-HSA-73780:R-HSA-73780,R-HSA-73863:R-HSA-73863,R-HSA-73980:R-HSA-73980,R-HSA-749476:R-HSA-749476,R-HSA-76061:R-HSA-76061,R-HSA-76066:R-HSA-76066,R-HSA-76071:R-HSA-76071,"
