ID,Gene Name,Species,REACTOME_PATHWAY
ENSG00000114480,"1,4-alpha-glucan branching enzyme 1(GBE1)",Homo sapiens,"R-HSA-3322077:R-HSA-3322077,R-HSA-3878781:R-HSA-3878781,"
ENSG00000111335,2'-5'-oligoadenylate synthetase 2(OAS2),Homo sapiens,"R-HSA-877300:R-HSA-877300,R-HSA-909733:R-HSA-909733,"
ENSG00000111331,2'-5'-oligoadenylate synthetase 3(OAS3),Homo sapiens,"R-HSA-877300:R-HSA-877300,R-HSA-909733:R-HSA-909733,"
ENSG00000198682,3'-phosphoadenosine 5'-phosphosulfate synthase 2(PAPSS2),Homo sapiens,"R-HSA-174362:R-HSA-174362,R-HSA-2408550:R-HSA-2408550,R-HSA-3560796:R-HSA-3560796,"
ENSG00000206527,3-hydroxyacyl-CoA dehydratase 2(HACD2),Homo sapiens,"R-HSA-75876:R-HSA-75876,"
ENSG00000106049,3-hydroxyisobutyrate dehydrogenase(HIBADH),Homo sapiens,"R-HSA-70895:R-HSA-70895,"
ENSG00000198130,3-hydroxyisobutyryl-CoA hydrolase(HIBCH),Homo sapiens,"R-HSA-70895:R-HSA-70895,"
ENSG00000088930,5'-3' exoribonuclease 2(XRN2),Homo sapiens,"R-HSA-390471:R-HSA-390471,"
ENSG00000135318,5'-nucleotidase ecto(NT5E),Homo sapiens,"R-HSA-73621:R-HSA-73621,R-HSA-74259:R-HSA-74259,"
ENSG00000138363,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase(ATIC),Homo sapiens,"R-HSA-73817:R-HSA-73817,"
ENSG00000114268,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4(PFKFB4)",Homo sapiens,"R-HSA-70171:R-HSA-70171,"
ENSG00000114948,ADAM metallopeptidase domain 23(ADAM23),Homo sapiens,"R-HSA-5682910:R-HSA-5682910,"
ENSG00000154734,ADAM metallopeptidase with thrombospondin type 1 motif 1(ADAMTS1),Homo sapiens,"R-HSA-1474228:R-HSA-1474228,R-HSA-5173214:R-HSA-5173214,"
ENSG00000151388,ADAM metallopeptidase with thrombospondin type 1 motif 12(ADAMTS12),Homo sapiens,"R-HSA-5173214:R-HSA-5173214,"
ENSG00000138316,ADAM metallopeptidase with thrombospondin type 1 motif 14(ADAMTS14),Homo sapiens,"R-HSA-1650814:R-HSA-1650814,R-HSA-5173214:R-HSA-5173214,"
ENSG00000129691,ASH2 like histone lysine methyltransferase complex subunit(ASH2L),Homo sapiens,"R-HSA-201722:R-HSA-201722,R-HSA-3214841:R-HSA-3214841,R-HSA-3769402:R-HSA-3769402,R-HSA-5617472:R-HSA-5617472,"
ENSG00000169696,"ASPSCR1, UBX domain containing tether for SLC2A4(ASPSCR1)",Homo sapiens,"R-HSA-1445148:R-HSA-1445148,"
ENSG00000154262,ATP binding cassette subfamily A member 6(ABCA6),Homo sapiens,"R-HSA-1369062:R-HSA-1369062,"
ENSG00000085563,ATP binding cassette subfamily B member 1(ABCB1),Homo sapiens,"R-HSA-2161517:R-HSA-2161517,R-HSA-382556:R-HSA-382556,"
ENSG00000197150,ATP binding cassette subfamily B member 8(ABCB8),Homo sapiens,"R-HSA-1369007:R-HSA-1369007,"
ENSG00000108846,ATP binding cassette subfamily C member 3(ABCC3),Homo sapiens,"R-HSA-159418:R-HSA-159418,R-HSA-382556:R-HSA-382556,"
ENSG00000101986,ATP binding cassette subfamily D member 1(ABCD1),Homo sapiens,"R-HSA-1369062:R-HSA-1369062,R-HSA-2046105:R-HSA-2046105,R-HSA-2046106:R-HSA-2046106,R-HSA-390247:R-HSA-390247,R-HSA-5684045:R-HSA-5684045,"
ENSG00000204574,ATP binding cassette subfamily F member 1(ABCF1),Homo sapiens,"R-HSA-382556:R-HSA-382556,"
ENSG00000165629,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1(ATP5C1)",Homo sapiens,"R-HSA-163210:R-HSA-163210,"
ENSG00000169020,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit E(ATP5I)",Homo sapiens,"R-HSA-163210:R-HSA-163210,"
ENSG00000127249,ATPase 13A4(ATP13A4),Homo sapiens,"R-HSA-936837:R-HSA-936837,"
ENSG00000116039,ATPase H+ transporting V1 subunit B1(ATP6V1B1),Homo sapiens,"R-HSA-1222556:R-HSA-1222556,R-HSA-77387:R-HSA-77387,R-HSA-917977:R-HSA-917977,R-HSA-983712:R-HSA-983712,"
ENSG00000213760,ATPase H+ transporting V1 subunit G2(ATP6V1G2),Homo sapiens,"R-HSA-1222556:R-HSA-1222556,R-HSA-77387:R-HSA-77387,R-HSA-917977:R-HSA-917977,R-HSA-983712:R-HSA-983712,"
ENSG00000143153,ATPase Na+/K+ transporting subunit beta 1(ATP1B1),Homo sapiens,"R-HSA-210991:R-HSA-210991,R-HSA-5578775:R-HSA-5578775,R-HSA-936837:R-HSA-936837,"
ENSG00000102010,BMX non-receptor tyrosine kinase(BMX),Homo sapiens,"R-HSA-111465:R-HSA-111465,"
ENSG00000012048,"BRCA1, DNA repair associated(BRCA1)",Homo sapiens,"R-HSA-1221632:R-HSA-1221632,R-HSA-3108214:R-HSA-3108214,R-HSA-5685938:R-HSA-5685938,R-HSA-5685942:R-HSA-5685942,R-HSA-5693554:R-HSA-5693554,R-HSA-5693565:R-HSA-5693565,R-HSA-5693568:R-HSA-5693568,R-HSA-5693571:R-HSA-5693571,R-HSA-5693579:R-HSA-5693579,R-HSA-5693607:R-HSA-5693607,R-HSA-5693616:R-HSA-5693616,R-HSA-69473:R-HSA-69473,R-HSA-912446:R-HSA-912446,"
ENSG00000259288,BUB1B-PAK6 readthrough(BUB1B-PAK6),Homo sapiens,"R-HSA-428540:R-HSA-428540,"
ENSG00000138686,Bardet-Biedl syndrome 7(BBS7),Homo sapiens,"R-HSA-5620922:R-HSA-5620922,"
ENSG00000275152,C-C motif chemokine ligand 16(CCL16),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000115009,C-C motif chemokine ligand 20(CCL20),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000274736,C-C motif chemokine ligand 23(CCL23),Homo sapiens,"R-HSA-416476:R-HSA-416476,R-HSA-418594:R-HSA-418594,R-HSA-444473:R-HSA-444473,"
ENSG00000112486,C-C motif chemokine receptor 6(CCR6),Homo sapiens,"R-HSA-1461957:R-HSA-1461957,R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000172215,C-X-C motif chemokine receptor 6(CXCR6),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000117281,CD160 molecule(CD160),Homo sapiens,"R-HSA-198933:R-HSA-198933,"
ENSG00000090659,CD209 molecule(CD209),Homo sapiens,"R-HSA-5621575:R-HSA-5621575,"
ENSG00000174059,CD34 molecule(CD34),Homo sapiens,"R-HSA-198933:R-HSA-198933,"
ENSG00000135218,CD36 molecule(CD36),Homo sapiens,"R-HSA-114608:R-HSA-114608,R-HSA-1236973:R-HSA-1236973,R-HSA-1236974:R-HSA-1236974,R-HSA-166058:R-HSA-166058,R-HSA-168188:R-HSA-168188,R-HSA-1989781:R-HSA-1989781,R-HSA-3000471:R-HSA-3000471,R-HSA-381340:R-HSA-381340,R-HSA-5602498:R-HSA-5602498,R-HSA-5603041:R-HSA-5603041,"
ENSG00000196352,CD55 molecule (Cromer blood group)(CD55),Homo sapiens,"R-HSA-373080:R-HSA-373080,R-HSA-6807878:R-HSA-6807878,R-HSA-977606:R-HSA-977606,"
ENSG00000153563,CD8a molecule(CD8A),Homo sapiens,"R-HSA-198933:R-HSA-198933,"
ENSG00000010278,CD9 molecule(CD9),Homo sapiens,"R-HSA-114608:R-HSA-114608,R-HSA-1300652:R-HSA-1300652,R-HSA-5336415:R-HSA-5336415,"
ENSG00000269897,COMMD3-BMI1 readthrough(COMMD3-BMI1),Homo sapiens,"R-HSA-2559580:R-HSA-2559580,R-HSA-3108214:R-HSA-3108214,R-HSA-4570464:R-HSA-4570464,"
ENSG00000014919,"COX15, cytochrome c oxidase assembly homolog(COX15)",Homo sapiens,"R-HSA-189451:R-HSA-189451,"
ENSG00000149679,Cdk5 and Abl enzyme substrate 2(CABLES2),Homo sapiens,"R-HSA-983231:R-HSA-983231,"
ENSG00000105516,D-box binding PAR bZIP transcription factor(DBP),Homo sapiens,"R-HSA-1368108:R-HSA-1368108,"
ENSG00000140829,DEAH-box helicase 38(DHX38),Homo sapiens,"R-HSA-109688:R-HSA-109688,R-HSA-159236:R-HSA-159236,R-HSA-72163:R-HSA-72163,R-HSA-72187:R-HSA-72187,"
ENSG00000123136,DExD-box helicase 39A(DDX39A),Homo sapiens,"R-HSA-109688:R-HSA-109688,R-HSA-159236:R-HSA-159236,R-HSA-72187:R-HSA-72187,"
ENSG00000198924,DNA cross-link repair 1A(DCLRE1A),Homo sapiens,"R-HSA-6783310:R-HSA-6783310,"
ENSG00000005156,DNA ligase 3(LIG3),Homo sapiens,"R-HSA-110381:R-HSA-110381,R-HSA-5649702:R-HSA-5649702,R-HSA-5685939:R-HSA-5685939,R-HSA-5696397:R-HSA-5696397,R-HSA-6782210:R-HSA-6782210,"
ENSG00000101868,"DNA polymerase alpha 1, catalytic subunit(POLA1)",Homo sapiens,"R-HSA-113501:R-HSA-113501,R-HSA-113510:R-HSA-113510,R-HSA-174411:R-HSA-174411,R-HSA-174430:R-HSA-174430,R-HSA-68952:R-HSA-68952,R-HSA-68962:R-HSA-68962,R-HSA-69091:R-HSA-69091,R-HSA-69166:R-HSA-69166,R-HSA-69183:R-HSA-69183,R-HSA-69205:R-HSA-69205,"
ENSG00000115350,"DNA polymerase epsilon 4, accessory subunit(POLE4)",Homo sapiens,"R-HSA-110314:R-HSA-110314,R-HSA-174430:R-HSA-174430,R-HSA-5651801:R-HSA-5651801,R-HSA-5656169:R-HSA-5656169,R-HSA-5685942:R-HSA-5685942,R-HSA-5696397:R-HSA-5696397,R-HSA-5696400:R-HSA-5696400,R-HSA-6782135:R-HSA-6782135,R-HSA-6782210:R-HSA-6782210,R-HSA-68952:R-HSA-68952,R-HSA-68962:R-HSA-68962,"
ENSG00000166169,DNA polymerase lambda(POLL),Homo sapiens,"R-HSA-5693571:R-HSA-5693571,"
ENSG00000132768,DPH2 homolog(DPH2),Homo sapiens,"R-HSA-5358493:R-HSA-5358493,"
ENSG00000105821,DnaJ heat shock protein family (Hsp40) member C2(DNAJC2),Homo sapiens,"R-HSA-3371453:R-HSA-3371453,"
ENSG00000168259,DnaJ heat shock protein family (Hsp40) member C7(DNAJC7),Homo sapiens,"R-HSA-3371453:R-HSA-3371453,"
ENSG00000007968,E2F transcription factor 2(E2F2),Homo sapiens,"R-HSA-2559580:R-HSA-2559580,R-HSA-2559585:R-HSA-2559585,R-HSA-68689:R-HSA-68689,R-HSA-69231:R-HSA-69231,R-HSA-69298:R-HSA-69298,"
ENSG00000120533,"ENY2, transcription and export complex 2 subunit(ENY2)",Homo sapiens,"R-HSA-3214847:R-HSA-3214847,"
ENSG00000142627,EPH receptor A2(EPHA2),Homo sapiens,"R-HSA-2682334:R-HSA-2682334,R-HSA-3928663:R-HSA-3928663,R-HSA-3928665:R-HSA-3928665,"
ENSG00000133216,EPH receptor B2(EPHB2),Homo sapiens,"R-HSA-2682334:R-HSA-2682334,R-HSA-373760:R-HSA-373760,R-HSA-3928662:R-HSA-3928662,R-HSA-3928664:R-HSA-3928664,R-HSA-3928665:R-HSA-3928665,"
ENSG00000182580,EPH receptor B3(EPHB3),Homo sapiens,"R-HSA-2682334:R-HSA-2682334,R-HSA-3928662:R-HSA-3928662,R-HSA-3928664:R-HSA-3928664,R-HSA-3928665:R-HSA-3928665,"
ENSG00000088298,ER degradation enhancing alpha-mannosidase like protein 2(EDEM2),Homo sapiens,"R-HSA-901032:R-HSA-901032,"
ENSG00000225830,"ERCC excision repair 6, chromatin remodeling factor(ERCC6)",Homo sapiens,"R-HSA-5250924:R-HSA-5250924,R-HSA-6781823:R-HSA-6781823,R-HSA-6781827:R-HSA-6781827,R-HSA-6782135:R-HSA-6782135,R-HSA-6782210:R-HSA-6782210,R-HSA-73762:R-HSA-73762,"
ENSG00000175832,ETS variant 4(ETV4),Homo sapiens,"R-HSA-5687128:R-HSA-5687128,"
ENSG00000119402,F-box and WD repeat domain containing 2(FBXW2),Homo sapiens,"R-HSA-390471:R-HSA-390471,R-HSA-983168:R-HSA-983168,"
ENSG00000109670,F-box and WD repeat domain containing 7(FBXW7),Homo sapiens,"R-HSA-2122947:R-HSA-2122947,R-HSA-2644606:R-HSA-2644606,R-HSA-2644607:R-HSA-2644607,R-HSA-2894862:R-HSA-2894862,R-HSA-390471:R-HSA-390471,R-HSA-983168:R-HSA-983168,"
ENSG00000108306,F-box and leucine rich repeat protein 20(FBXL20),Homo sapiens,"R-HSA-983168:R-HSA-983168,"
ENSG00000269190,F-box protein 17(FBXO17),Homo sapiens,"R-HSA-983168:R-HSA-983168,"
ENSG00000118496,F-box protein 30(FBXO30),Homo sapiens,"R-HSA-983168:R-HSA-983168,"
