ID,Gene Name,Species,REACTOME_PATHWAY
ENSG00000113161,3-hydroxy-3-methylglutaryl-CoA reductase(HMGCR),Homo sapiens,"R-HSA-191273:R-HSA-191273,R-HSA-1989781:R-HSA-1989781,R-HSA-2426168:R-HSA-2426168,"
ENSG00000146151,3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1(HMGCLL1),Homo sapiens,"R-HSA-77111:R-HSA-77111,"
ENSG00000183044,4-aminobutyrate aminotransferase(ABAT),Homo sapiens,"R-HSA-916853:R-HSA-916853,"
ENSG00000114127,5'-3' exoribonuclease 1(XRN1),Homo sapiens,"R-HSA-430039:R-HSA-430039,R-HSA-450385:R-HSA-450385,R-HSA-450513:R-HSA-450513,"
ENSG00000168830,5-hydroxytryptamine receptor 1E(HTR1E),Homo sapiens,"R-HSA-390666:R-HSA-390666,R-HSA-418594:R-HSA-418594,"
ENSG00000186038,5-hydroxytryptamine receptor 3E(HTR3E),Homo sapiens,"R-HSA-975298:R-HSA-975298,"
ENSG00000160323,ADAM metallopeptidase with thrombospondin type 1 motif 13(ADAMTS13),Homo sapiens,"R-HSA-5173214:R-HSA-5173214,"
ENSG00000145808,ADAM metallopeptidase with thrombospondin type 1 motif 19(ADAMTS19),Homo sapiens,"R-HSA-5173214:R-HSA-5173214,"
ENSG00000178031,ADAMTS like 1(ADAMTSL1),Homo sapiens,"R-HSA-5173214:R-HSA-5173214,"
ENSG00000033011,"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase(ALG1)",Homo sapiens,"R-HSA-446193:R-HSA-446193,R-HSA-4549380:R-HSA-4549380,"
ENSG00000182858,"ALG12, alpha-1,6-mannosyltransferase(ALG12)",Homo sapiens,"R-HSA-446193:R-HSA-446193,R-HSA-4720489:R-HSA-4720489,"
ENSG00000088035,"ALG6, alpha-1,3-glucosyltransferase(ALG6)",Homo sapiens,"R-HSA-446193:R-HSA-446193,R-HSA-4724289:R-HSA-4724289,"
ENSG00000116127,"ALMS1, centrosome and basal body associated protein(ALMS1)",Homo sapiens,"R-HSA-2565942:R-HSA-2565942,R-HSA-380259:R-HSA-380259,R-HSA-380270:R-HSA-380270,R-HSA-5620912:R-HSA-5620912,"
ENSG00000154122,ANKH inorganic pyrophosphate transport regulator(ANKH),Homo sapiens,"R-HSA-5223345:R-HSA-5223345,"
ENSG00000134982,"APC, WNT signaling pathway regulator(APC)",Homo sapiens,"R-HSA-111465:R-HSA-111465,R-HSA-195253:R-HSA-195253,R-HSA-196299:R-HSA-196299,R-HSA-3769402:R-HSA-3769402,R-HSA-4641262:R-HSA-4641262,R-HSA-5339716:R-HSA-5339716,R-HSA-5358747:R-HSA-5358747,R-HSA-5358749:R-HSA-5358749,R-HSA-5358751:R-HSA-5358751,R-HSA-5358752:R-HSA-5358752,R-HSA-5467333:R-HSA-5467333,R-HSA-5467337:R-HSA-5467337,R-HSA-5467340:R-HSA-5467340,R-HSA-5467348:R-HSA-5467348,"
ENSG00000138107,"ARP1 actin-related protein 1 homolog A, centractin alpha(ACTR1A)",Homo sapiens,"R-HSA-2132295:R-HSA-2132295,R-HSA-2565942:R-HSA-2565942,R-HSA-380259:R-HSA-380259,R-HSA-380270:R-HSA-380270,R-HSA-5620912:R-HSA-5620912,"
ENSG00000115091,ARP3 actin related protein 3 homolog(ACTR3),Homo sapiens,"R-HSA-2029482:R-HSA-2029482,R-HSA-3928662:R-HSA-3928662,R-HSA-5663213:R-HSA-5663213,"
ENSG00000101442,ARP5 actin-related protein 5 homolog(ACTR5),Homo sapiens,"R-HSA-5696394:R-HSA-5696394,"
ENSG00000173409,"ARV1 homolog, fatty acid homeostasis modulator(ARV1)",Homo sapiens,"R-HSA-191273:R-HSA-191273,"
ENSG00000073734,ATP binding cassette subfamily B member 11(ABCB11),Homo sapiens,"R-HSA-159418:R-HSA-159418,R-HSA-193368:R-HSA-193368,R-HSA-5678520:R-HSA-5678520,"
ENSG00000121270,ATP binding cassette subfamily C member 11(ABCC11),Homo sapiens,"R-HSA-382556:R-HSA-382556,"
