ID,Gene Name,Species,REACTOME_PATHWAY
ENSG00000104325,"2,4-dienoyl-CoA reductase 1, mitochondrial(DECR1)",Homo sapiens,"R-HSA-77288:R-HSA-77288,"
ENSG00000242612,"2,4-dienoyl-CoA reductase 2, peroxisomal(DECR2)",Homo sapiens,"R-HSA-535734:R-HSA-535734,"
ENSG00000083720,3-oxoacid CoA-transferase 1(OXCT1),Homo sapiens,"R-HSA-77108:R-HSA-77108,"
ENSG00000140992,3-phosphoinositide dependent protein kinase 1(PDPK1),Homo sapiens,"R-HSA-114604:R-HSA-114604,R-HSA-1257604:R-HSA-1257604,R-HSA-165158:R-HSA-165158,R-HSA-202424:R-HSA-202424,R-HSA-2730905:R-HSA-2730905,R-HSA-2871837:R-HSA-2871837,R-HSA-354192:R-HSA-354192,R-HSA-389357:R-HSA-389357,R-HSA-389513:R-HSA-389513,R-HSA-392451:R-HSA-392451,R-HSA-444257:R-HSA-444257,R-HSA-5218920:R-HSA-5218920,R-HSA-5218921:R-HSA-5218921,R-HSA-5607764:R-HSA-5607764,R-HSA-5625740:R-HSA-5625740,R-HSA-5674400:R-HSA-5674400,"
ENSG00000125458,"5', 3'-nucleotidase, cytosolic(NT5C)",Homo sapiens,"R-HSA-73621:R-HSA-73621,R-HSA-74259:R-HSA-74259,"
ENSG00000136371,"5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)(MTHFS)",Homo sapiens,"R-HSA-196757:R-HSA-196757,"
ENSG00000149305,5-hydroxytryptamine receptor 3B(HTR3B),Homo sapiens,"R-HSA-975298:R-HSA-975298,"
ENSG00000164270,5-hydroxytryptamine receptor 4(HTR4),Homo sapiens,"R-HSA-390666:R-HSA-390666,R-HSA-418555:R-HSA-418555,"
ENSG00000108599,A-kinase anchoring protein 10(AKAP10),Homo sapiens,"R-HSA-983231:R-HSA-983231,"
ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)",Homo sapiens,"R-HSA-2029482:R-HSA-2029482,R-HSA-375170:R-HSA-375170,R-HSA-428890:R-HSA-428890,R-HSA-5663213:R-HSA-5663213,R-HSA-5685938:R-HSA-5685938,R-HSA-5693565:R-HSA-5693565,R-HSA-983231:R-HSA-983231,"
ENSG00000073670,ADAM metallopeptidase domain 11(ADAM11),Homo sapiens,"R-HSA-5682910:R-HSA-5682910,"
ENSG00000139985,ADAM metallopeptidase domain 21(ADAM21),Homo sapiens,"R-HSA-1300644:R-HSA-1300644,"
ENSG00000156218,ADAMTS like 3(ADAMTSL3),Homo sapiens,"R-HSA-5173214:R-HSA-5173214,"
ENSG00000134287,ADP ribosylation factor 3(ARF3),Homo sapiens,"R-HSA-1660514:R-HSA-1660514,R-HSA-6807878:R-HSA-6807878,"
ENSG00000242247,ADP ribosylation factor GTPase activating protein 3(ARFGAP3),Homo sapiens,"R-HSA-6807878:R-HSA-6807878,"
ENSG00000169379,ADP ribosylation factor like GTPase 13B(ARL13B),Homo sapiens,"R-HSA-5624958:R-HSA-5624958,"
ENSG00000144746,ADP ribosylation factor like GTPase 6 interacting protein 5(ARL6IP5),Homo sapiens,"R-HSA-210500:R-HSA-210500,"
ENSG00000170222,"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent(ADPRM)",Homo sapiens,"R-HSA-2393930:R-HSA-2393930,"
ENSG00000142208,AKT serine/threonine kinase 1(AKT1),Homo sapiens,"R-HSA-111447:R-HSA-111447,R-HSA-114604:R-HSA-114604,R-HSA-1257604:R-HSA-1257604,R-HSA-1358803:R-HSA-1358803,R-HSA-1445148:R-HSA-1445148,R-HSA-1474151:R-HSA-1474151,R-HSA-165159:R-HSA-165159,R-HSA-198323:R-HSA-198323,R-HSA-198693:R-HSA-198693,R-HSA-199418:R-HSA-199418,R-HSA-203615:R-HSA-203615,R-HSA-211163:R-HSA-211163,R-HSA-354192:R-HSA-354192,R-HSA-3769402:R-HSA-3769402,R-HSA-389357:R-HSA-389357,R-HSA-389513:R-HSA-389513,R-HSA-392451:R-HSA-392451,R-HSA-450385:R-HSA-450385,R-HSA-450604:R-HSA-450604,R-HSA-5218920:R-HSA-5218920,R-HSA-5628897:R-HSA-5628897,R-HSA-5674400:R-HSA-5674400,"
ENSG00000117020,AKT serine/threonine kinase 3(AKT3),Homo sapiens,"R-HSA-111447:R-HSA-111447,R-HSA-114604:R-HSA-114604,R-HSA-1257604:R-HSA-1257604,R-HSA-1358803:R-HSA-1358803,R-HSA-198323:R-HSA-198323,R-HSA-198693:R-HSA-198693,R-HSA-199418:R-HSA-199418,R-HSA-211163:R-HSA-211163,R-HSA-389357:R-HSA-389357,R-HSA-389513:R-HSA-389513,R-HSA-392451:R-HSA-392451,R-HSA-5218920:R-HSA-5218920,R-HSA-5628897:R-HSA-5628897,R-HSA-5674400:R-HSA-5674400,"
ENSG00000113812,ARP8 actin-related protein 8 homolog(ACTR8),Homo sapiens,"R-HSA-5696394:R-HSA-5696394,"
ENSG00000049618,AT-rich interaction domain 1B(ARID1B),Homo sapiens,"R-HSA-3214858:R-HSA-3214858,"
ENSG00000114770,ATP binding cassette subfamily C member 5(ABCC5),Homo sapiens,"R-HSA-2142850:R-HSA-2142850,R-HSA-382556:R-HSA-382556,"
ENSG00000117528,ATP binding cassette subfamily D member 3(ABCD3),Homo sapiens,"R-HSA-1369062:R-HSA-1369062,"
ENSG00000241468,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2(ATP5J2)",Homo sapiens,"R-HSA-163210:R-HSA-163210,"
ENSG00000136888,ATPase H+ transporting V1 subunit G1(ATP6V1G1),Homo sapiens,"R-HSA-1222556:R-HSA-1222556,R-HSA-77387:R-HSA-77387,R-HSA-917977:R-HSA-917977,R-HSA-983712:R-HSA-983712,"
ENSG00000105675,ATPase H+/K+ transporting alpha subunit(ATP4A),Homo sapiens,"R-HSA-936837:R-HSA-936837,"
ENSG00000075673,ATPase H+/K+ transporting non-gastric alpha2 subunit(ATP12A),Homo sapiens,"R-HSA-936837:R-HSA-936837,"
ENSG00000132932,ATPase phospholipid transporting 8A2(ATP8A2),Homo sapiens,"R-HSA-936837:R-HSA-936837,"
ENSG00000064270,ATPase secretory pathway Ca2+ transporting 2(ATP2C2),Homo sapiens,"R-HSA-936837:R-HSA-936837,"
ENSG00000135439,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2(AGAP2)",Homo sapiens,"R-HSA-373752:R-HSA-373752,"
