ID,Gene Name,Species,REACTOME_PATHWAY
ENSG00000188921,3-hydroxyacyl-CoA dehydratase 4(HACD4),Homo sapiens,"R-HSA-75876:R-HSA-75876,"
ENSG00000162882,"3-hydroxyanthranilate 3,4-dioxygenase(HAAO)",Homo sapiens,"R-HSA-71240:R-HSA-71240,"
ENSG00000117305,3-hydroxymethyl-3-methylglutaryl-CoA lyase(HMGCL),Homo sapiens,"R-HSA-77111:R-HSA-77111,"
ENSG00000119537,3-ketodihydrosphingosine reductase(KDSR),Homo sapiens,"R-HSA-1660661:R-HSA-1660661,"
ENSG00000122643,"5'-nucleotidase, cytosolic IIIA(NT5C3A)",Homo sapiens,"R-HSA-73621:R-HSA-73621,"
ENSG00000102468,5-hydroxytryptamine receptor 2A(HTR2A),Homo sapiens,"R-HSA-390666:R-HSA-390666,R-HSA-416476:R-HSA-416476,"
ENSG00000178084,5-hydroxytryptamine receptor 3C(HTR3C),Homo sapiens,"R-HSA-975298:R-HSA-975298,"
ENSG00000158571,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1(PFKFB1)",Homo sapiens,"R-HSA-163358:R-HSA-163358,R-HSA-163767:R-HSA-163767,R-HSA-70171:R-HSA-70171,R-HSA-70263:R-HSA-70263,"
ENSG00000170525,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3(PFKFB3)",Homo sapiens,"R-HSA-70171:R-HSA-70171,"
ENSG00000130313,6-phosphogluconolactonase(PGLS),Homo sapiens,"R-HSA-71336:R-HSA-71336,"
ENSG00000121057,A-kinase anchoring protein 1(AKAP1),Homo sapiens,"R-HSA-983231:R-HSA-983231,"
ENSG00000137845,ADAM metallopeptidase domain 10(ADAM10),Homo sapiens,"R-HSA-1442490:R-HSA-1442490,R-HSA-1474228:R-HSA-1474228,R-HSA-177929:R-HSA-177929,R-HSA-1980148:R-HSA-1980148,R-HSA-1980150:R-HSA-1980150,R-HSA-2122948:R-HSA-2122948,R-HSA-2644606:R-HSA-2644606,R-HSA-2660826:R-HSA-2660826,R-HSA-2691232:R-HSA-2691232,R-HSA-2894862:R-HSA-2894862,R-HSA-2979096:R-HSA-2979096,R-HSA-3928665:R-HSA-3928665,"
ENSG00000168615,ADAM metallopeptidase domain 9(ADAM9),Homo sapiens,"R-HSA-1442490:R-HSA-1442490,"
ENSG00000140470,ADAM metallopeptidase with thrombospondin type 1 motif 17(ADAMTS17),Homo sapiens,"R-HSA-5173214:R-HSA-5173214,"
ENSG00000140873,ADAM metallopeptidase with thrombospondin type 1 motif 18(ADAMTS18),Homo sapiens,"R-HSA-1474228:R-HSA-1474228,R-HSA-5173214:R-HSA-5173214,"
ENSG00000156140,ADAM metallopeptidase with thrombospondin type 1 motif 3(ADAMTS3),Homo sapiens,"R-HSA-1650814:R-HSA-1650814,R-HSA-5173214:R-HSA-5173214,"
ENSG00000158859,ADAM metallopeptidase with thrombospondin type 1 motif 4(ADAMTS4),Homo sapiens,"R-HSA-1474228:R-HSA-1474228,R-HSA-5173214:R-HSA-5173214,"
ENSG00000136378,ADAM metallopeptidase with thrombospondin type 1 motif 7(ADAMTS7),Homo sapiens,"R-HSA-5173214:R-HSA-5173214,"
ENSG00000185761,ADAMTS like 5(ADAMTSL5),Homo sapiens,"R-HSA-5173214:R-HSA-5173214,"
ENSG00000101199,ADP ribosylation factor GTPase activating protein 1(ARFGAP1),Homo sapiens,"R-HSA-381038:R-HSA-381038,R-HSA-6807878:R-HSA-6807878,"
ENSG00000149182,ADP ribosylation factor GTPase activating protein 2(ARFGAP2),Homo sapiens,"R-HSA-6807878:R-HSA-6807878,"
ENSG00000253710,"ALG11, alpha-1,2-mannosyltransferase(ALG11)",Homo sapiens,"R-HSA-446193:R-HSA-446193,R-HSA-4551295:R-HSA-4551295,"
ENSG00000214160,"ALG3, alpha-1,3- mannosyltransferase(ALG3)",Homo sapiens,"R-HSA-446193:R-HSA-446193,R-HSA-4720475:R-HSA-4720475,"
ENSG00000115657,ATP binding cassette subfamily B member 6 (Langereis blood group)(ABCB6),Homo sapiens,"R-HSA-1369007:R-HSA-1369007,R-HSA-5683371:R-HSA-5683371,"
ENSG00000150967,ATP binding cassette subfamily B member 9(ABCB9),Homo sapiens,"R-HSA-382556:R-HSA-382556,"
ENSG00000154518,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)(ATP5G3)",Homo sapiens,"R-HSA-163210:R-HSA-163210,"
ENSG00000125375,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)(ATP5S)",Homo sapiens,"R-HSA-163210:R-HSA-163210,"
ENSG00000155097,ATPase H+ transporting V1 subunit C1(ATP6V1C1),Homo sapiens,"R-HSA-1222556:R-HSA-1222556,R-HSA-77387:R-HSA-77387,R-HSA-917977:R-HSA-917977,R-HSA-983712:R-HSA-983712,"
ENSG00000143882,ATPase H+ transporting V1 subunit C2(ATP6V1C2),Homo sapiens,"R-HSA-1222556:R-HSA-1222556,R-HSA-77387:R-HSA-77387,R-HSA-917977:R-HSA-917977,R-HSA-983712:R-HSA-983712,"
ENSG00000186009,ATPase H+/K+ transporting beta subunit(ATP4B),Homo sapiens,"R-HSA-936837:R-HSA-936837,"
ENSG00000163399,ATPase Na+/K+ transporting subunit alpha 1(ATP1A1),Homo sapiens,"R-HSA-5578775:R-HSA-5578775,R-HSA-936837:R-HSA-936837,"
ENSG00000130270,ATPase phospholipid transporting 8B3(ATP8B3),Homo sapiens,"R-HSA-936837:R-HSA-936837,"
ENSG00000054793,ATPase phospholipid transporting 9A (putative)(ATP9A),Homo sapiens,"R-HSA-936837:R-HSA-936837,"
ENSG00000067842,ATPase plasma membrane Ca2+ transporting 3(ATP2B3),Homo sapiens,"R-HSA-418359:R-HSA-418359,R-HSA-5578775:R-HSA-5578775,R-HSA-936837:R-HSA-936837,"
ENSG00000148090,AU RNA binding methylglutaconyl-CoA hydratase(AUH),Homo sapiens,"R-HSA-70895:R-HSA-70895,"
ENSG00000047365,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2(ARAP2)",Homo sapiens,"R-HSA-194840:R-HSA-194840,"
ENSG00000145734,"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB(BDP1)",Homo sapiens,"R-HSA-749476:R-HSA-749476,R-HSA-76061:R-HSA-76061,R-HSA-76066:R-HSA-76066,R-HSA-76071:R-HSA-76071,"
ENSG00000064489,BORCS8-MEF2B readthrough(BORCS8-MEF2B),Homo sapiens,"R-HSA-375170:R-HSA-375170,"
ENSG00000089234,BRCA1 associated protein(BRAP),Homo sapiens,"R-HSA-5673000:R-HSA-5673000,R-HSA-5675221:R-HSA-5675221,"
ENSG00000184887,BTB domain containing 6(BTBD6),Homo sapiens,"R-HSA-983168:R-HSA-983168,"
ENSG00000169679,BUB1 mitotic checkpoint serine/threonine kinase(BUB1),Homo sapiens,"R-HSA-2467813:R-HSA-2467813,R-HSA-2500257:R-HSA-2500257,R-HSA-5663220:R-HSA-5663220,R-HSA-68877:R-HSA-68877,"
ENSG00000105829,Bet1 golgi vesicular membrane trafficking protein(BET1),Homo sapiens,"R-HSA-204005:R-HSA-204005,R-HSA-6807878:R-HSA-6807878,"
ENSG00000181374,C-C motif chemokine ligand 13(CCL13),Homo sapiens,"R-HSA-380108:R-HSA-380108,"
ENSG00000108691,C-C motif chemokine ligand 2(CCL2),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-380994:R-HSA-380994,"
ENSG00000131142,C-C motif chemokine ligand 25(CCL25),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000121807,C-C motif chemokine receptor 2(CCR2),Homo sapiens,"R-HSA-1461957:R-HSA-1461957,R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000163739,C-X-C motif chemokine ligand 1(CXCL1),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000169245,C-X-C motif chemokine ligand 10(CXCL10),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000169248,C-X-C motif chemokine ligand 11(CXCL11),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000161921,C-X-C motif chemokine ligand 16(CXCL16),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000163734,C-X-C motif chemokine ligand 3(CXCL3),Homo sapiens,"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
ENSG00000132693,C-reactive protein(CRP),Homo sapiens,"R-HSA-173623:R-HSA-173623,"
ENSG00000110852,C-type lectin domain family 2 member B(CLEC2B),Homo sapiens,"R-HSA-198933:R-HSA-198933,"
ENSG00000163815,C-type lectin domain family 3 member B(CLEC3B),Homo sapiens,"R-HSA-114608:R-HSA-114608,"
ENSG00000111729,C-type lectin domain family 4 member A(CLEC4A),Homo sapiens,"R-HSA-5621480:R-HSA-5621480,"
ENSG00000166523,C-type lectin domain family 4 member E(CLEC4E),Homo sapiens,"R-HSA-5621480:R-HSA-5621480,"
ENSG00000205846,C-type lectin domain family 6 member A(CLEC6A),Homo sapiens,"R-HSA-5621480:R-HSA-5621480,"
ENSG00000172243,C-type lectin domain family 7 member A(CLEC7A),Homo sapiens,"R-HSA-5607764:R-HSA-5607764,"
ENSG00000171155,C1GALT1 specific chaperone 1(C1GALT1C1),Homo sapiens,"R-HSA-913709:R-HSA-913709,"
ENSG00000168014,C2 calcium dependent domain containing 3(C2CD3),Homo sapiens,"R-HSA-5620912:R-HSA-5620912,"
ENSG00000270024,C8orf44-SGK3 readthrough(C8orf44-SGK3),Homo sapiens,"R-HSA-2672351:R-HSA-2672351,"
